RowType,Month,DocNumber,Account,Class,Amount,Memo
Line,2026-07,COGS-CORR-Jul2026,51100 Bulk Olive Oil - Raw (Debit),Amazon,456.30,Amazon: 390 units x ($8.25 true - $7.08 posted) = $456.30 understatement
Line,2026-07,COGS-CORR-Jul2026,51100 Bulk Olive Oil - Raw (Debit),Wholesale,14.04,Wholesale: 12 units x ($8.25 true - $7.08 posted) = $14.04 understatement
Line,2026-07,COGS-CORR-Jul2026,13100 Inventory (Credit),,1001.52,Relieves inventory for Jul 2026 COGS correction
JE Header,2026-08,COGS-CORR-Aug2026,,,0.00,"COGS correction for Aug 2026: true FIFO inventory cost was $7.08/unit (validated against 8/3/2026 physical count of 2,267 units), vs. $7.08/unit posted rate baseline. Restates COGS by channel for units sold this month."
Line,2026-08,COGS-CORR-Aug2026,51100 Bulk Olive Oil - Raw (Debit),DTC,0.00,DTC: 55 units x ($7.08 true - $7.08 posted) = $0.00 understatement
Line,2026-08,COGS-CORR-Aug2026,51100 Bulk Olive Oil - Raw (Debit),TikTok,0.00,TikTok: 24 units x ($7.08 true - $7.08 posted) = $0.00 understatement
Line,2026-08,COGS-CORR-Aug2026,51100 Bulk Olive Oil - Raw (Debit),Amazon,0.00,Amazon: 90 units x ($7.08 true - $7.08 posted) = $0.00 understatement
Line,2026-08,COGS-CORR-Aug2026,13100 Inventory (Credit),,0.00,Relieves inventory for Aug 2026 COGS correction
JE Header,2025-05,DT-UNDEDUCTED-May2025,,,92.04,"DTC inventory catch-up for May 2025: automated deduction mechanism only posted $1,302.72 of the $1,394.76 expected ($7.08 x 197 units) this month - $92.04 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-May2025."
Line,2025-05,DT-UNDEDUCTED-May2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,92.04,DTC: shortfall vs $7.08 baseline = $92.04
Line,2025-05,DT-UNDEDUCTED-May2025,13100 Inventory (Credit),,92.04,Relieves inventory for May 2025 DTC catch-up
JE Header,2025-05,WS-UNDEDUCTED-May2025,,,3016.08,"Wholesale inventory catch-up for May 2025: automated deduction mechanism only posted $290.28 of the $3,306.36 expected ($7.08 x 467 units) this month - $3,016.08 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-May2025."
Line,2025-05,WS-UNDEDUCTED-May2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,3016.08,"Wholesale: shortfall vs $7.08 baseline = $3,016.08"
Line,2025-05,WS-UNDEDUCTED-May2025,13100 Inventory (Credit),,3016.08,Relieves inventory for May 2025 Wholesale catch-up
JE Header,2025-06,DT-UNDEDUCTED-Jun2025,,,346.92,"DTC inventory catch-up for Jun 2025: automated deduction mechanism only posted $892.08 of the $1,239.00 expected ($7.08 x 175 units) this month - $346.92 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jun2025."
Line,2025-06,DT-UNDEDUCTED-Jun2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,346.92,DTC: shortfall vs $7.08 baseline = $346.92
Line,2025-06,DT-UNDEDUCTED-Jun2025,13100 Inventory (Credit),,346.92,Relieves inventory for Jun 2025 DTC catch-up
JE Header,2025-06,WS-UNDEDUCTED-Jun2025,,,233.64,Wholesale inventory catch-up for Jun 2025: automated deduction mechanism only posted $446.04 of the $679.68 expected ($7.08 x 96 units) this month - $233.64 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jun2025.
Line,2025-06,WS-UNDEDUCTED-Jun2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,233.64,Wholesale: shortfall vs $7.08 baseline = $233.64
Line,2025-06,WS-UNDEDUCTED-Jun2025,13100 Inventory (Credit),,233.64,Relieves inventory for Jun 2025 Wholesale catch-up
JE Header,2025-07,DT-UNDEDUCTED-Jul2025,,,169.92,"DTC inventory catch-up for Jul 2025: automated deduction mechanism only posted $1,571.76 of the $1,741.68 expected ($7.08 x 246 units) this month - $169.92 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jul2025."
Line,2025-07,DT-UNDEDUCTED-Jul2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,169.92,DTC: shortfall vs $7.08 baseline = $169.92
Line,2025-07,DT-UNDEDUCTED-Jul2025,13100 Inventory (Credit),,169.92,Relieves inventory for Jul 2025 DTC catch-up
JE Header,2025-07,TI-UNDEDUCTED-Jul2025,,,155.76,"TikTok inventory catch-up for Jul 2025: automated deduction mechanism only posted $1,911.60 of the $2,067.36 expected ($7.08 x 292 units) this month - $155.76 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jul2025."
Line,2025-07,TI-UNDEDUCTED-Jul2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),TikTok,155.76,TikTok: shortfall vs $7.08 baseline = $155.76
Line,2025-07,TI-UNDEDUCTED-Jul2025,13100 Inventory (Credit),,155.76,Relieves inventory for Jul 2025 TikTok catch-up
JE Header,2025-07,WS-UNDEDUCTED-Jul2025,,,1104.48,"Wholesale inventory catch-up for Jul 2025: automated deduction mechanism only posted $169.92 of the $1,274.40 expected ($7.08 x 180 units) this month - $1,104.48 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jul2025."
Line,2025-07,WS-UNDEDUCTED-Jul2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,1104.48,"Wholesale: shortfall vs $7.08 baseline = $1,104.48"
Line,2025-07,WS-UNDEDUCTED-Jul2025,13100 Inventory (Credit),,1104.48,Relieves inventory for Jul 2025 Wholesale catch-up
JE Header,2025-08,DT-UNDEDUCTED-Aug2025,,,14.16,"DTC inventory catch-up for Aug 2025: automated deduction mechanism only posted $1,833.72 of the $1,847.88 expected ($7.08 x 261 units) this month - $14.16 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Aug2025."
Line,2025-08,DT-UNDEDUCTED-Aug2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,14.16,DTC: shortfall vs $7.08 baseline = $14.16
Line,2025-08,DT-UNDEDUCTED-Aug2025,13100 Inventory (Credit),,14.16,Relieves inventory for Aug 2025 DTC catch-up
JE Header,2025-08,WS-UNDEDUCTED-Aug2025,,,311.52,Wholesale inventory catch-up for Aug 2025: automated deduction mechanism only posted $28.32 of the $339.84 expected ($7.08 x 48 units) this month - $311.52 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Aug2025.
Line,2025-08,WS-UNDEDUCTED-Aug2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,311.52,Wholesale: shortfall vs $7.08 baseline = $311.52
Line,2025-08,WS-UNDEDUCTED-Aug2025,13100 Inventory (Credit),,311.52,Relieves inventory for Aug 2025 Wholesale catch-up
JE Header,2025-09,WS-UNDEDUCTED-Sep2025,,,8835.84,"Wholesale inventory catch-up for Sep 2025: automated deduction mechanism only posted $594.72 of the $9,430.56 expected ($7.08 x 1332 units) this month - $8,835.84 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Sep2025."
Line,2025-09,WS-UNDEDUCTED-Sep2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,8835.84,"Wholesale: shortfall vs $7.08 baseline = $8,835.84"
Line,2025-09,WS-UNDEDUCTED-Sep2025,13100 Inventory (Credit),,8835.84,Relieves inventory for Sep 2025 Wholesale catch-up
JE Header,2025-10,WS-UNDEDUCTED-Oct2025,,,835.44,Wholesale inventory catch-up for Oct 2025: automated deduction mechanism only posted $14.16 of the $849.60 expected ($7.08 x 120 units) this month - $835.44 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Oct2025.
Line,2025-10,WS-UNDEDUCTED-Oct2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,835.44,Wholesale: shortfall vs $7.08 baseline = $835.44
Line,2025-10,WS-UNDEDUCTED-Oct2025,13100 Inventory (Credit),,835.44,Relieves inventory for Oct 2025 Wholesale catch-up
JE Header,2025-11,TI-UNDEDUCTED-Nov2025,,,35.40,"TikTok inventory catch-up for Nov 2025: automated deduction mechanism only posted $2,690.40 of the $2,725.80 expected ($7.08 x 385 units) this month - $35.40 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Nov2025."
Line,2025-11,TI-UNDEDUCTED-Nov2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),TikTok,35.40,TikTok: shortfall vs $7.08 baseline = $35.40
Line,2025-11,TI-UNDEDUCTED-Nov2025,13100 Inventory (Credit),,35.40,Relieves inventory for Nov 2025 TikTok catch-up
JE Header,2025-11,WS-UNDEDUCTED-Nov2025,,,254.88,Wholesale inventory catch-up for Nov 2025: automated deduction mechanism only posted $169.92 of the $424.80 expected ($7.08 x 60 units) this month - $254.88 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Nov2025.
Line,2025-11,WS-UNDEDUCTED-Nov2025,52100 Inventory Adjustment - Unrecorded Deductions (Debit),Wholesale,254.88,Wholesale: shortfall vs $7.08 baseline = $254.88
Line,2025-11,WS-UNDEDUCTED-Nov2025,13100 Inventory (Credit),,254.88,Relieves inventory for Nov 2025 Wholesale catch-up
JE Header,2026-01,DT-UNDEDUCTED-Jan2026,,,56.64,"DTC inventory catch-up for Jan 2026: automated deduction mechanism only posted $1,231.92 of the $1,288.56 expected ($7.08 x 182 units) this month - $56.64 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jan2026."
Line,2026-01,DT-UNDEDUCTED-Jan2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),DTC,56.64,DTC: shortfall vs $7.08 baseline = $56.64
Line,2026-01,DT-UNDEDUCTED-Jan2026,13100 Inventory (Credit),,56.64,Relieves inventory for Jan 2026 DTC catch-up
JE Header,2026-01,TI-UNDEDUCTED-Jan2026,,,106.20,"TikTok inventory catch-up for Jan 2026: automated deduction mechanism only posted $2,492.16 of the $2,598.36 expected ($7.08 x 367 units) this month - $106.20 never hit COGS at all. Separate from the rate-only correction in COGS-CORR-Jan2026."
Line,2026-01,TI-UNDEDUCTED-Jan2026,52100 Inventory Adjustment - Unrecorded Deductions (Debit),TikTok,106.20,TikTok: shortfall vs $7.08 baseline = $106.20
